"sample1"	"sample2"	"PF3D7_06_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.97981140945931
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.992379359609833
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.952674417208374
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.83159235586401
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.855416201038047
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.897074308099514
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.886257388448984
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.97981140945931
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.977223584254771
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.967273946526772
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.836719240515171
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.86640277679104
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.887631394258289
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.895238088143929
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.992379359609833
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.977223584254771
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.945137692334824
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.810414470934849
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.831316795765056
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.881631024147773
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.86686368146584
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.952674417208374
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.967273946526772
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.945137692334824
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.81054568801261
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.874017785916705
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.861199993401951
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.917196516794479
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.83159235586401
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.836719240515171
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.810414470934849
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.81054568801261
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.948863614648439
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.959583771440377
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.918012448803165
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.855416201038047
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.86640277679104
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.831316795765056
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.874017785916705
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.948863614648439
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.943590903910911
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.96828963135638
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.897074308099514
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.887631394258289
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.881631024147773
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.861199993401951
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.959583771440377
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.943590903910911
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.95510829754675
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.886257388448984
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.895238088143929
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.86686368146584
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.917196516794479
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.918012448803165
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.96828963135638
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.95510829754675
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
