"sample1"	"sample2"	"PF3D7_11_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.969975465265784
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.992369711224273
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.936159759080175
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.789157536691529
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.801984383548733
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.867694166095904
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.843085659772953
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.969975465265784
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.965224216930802
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.958397244319076
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.787267329727734
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.820539257869201
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.845959951594798
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.857689461055828
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.992369711224273
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.965224216930802
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.938621087871256
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.765784731108336
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.784176566331853
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.851147328274033
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.831347329257257
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.936159759080175
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.958397244319076
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.938621087871256
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.755470285916168
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.819157794667118
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.826337679948285
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.883264581010176
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.789157536691529
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.787267329727734
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.765784731108336
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.755470285916168
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.945772303811705
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.943329621636277
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.901635422033606
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.801984383548733
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.820539257869201
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.784176566331853
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.819157794667118
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.945772303811705
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.919506625596207
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.951392396870282
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.867694166095904
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.845959951594798
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.851147328274033
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.826337679948285
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.943329621636277
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.919506625596207
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.946618434582049
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.843085659772953
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.857689461055828
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.831347329257257
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.883264581010176
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.901635422033606
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.951392396870282
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.946618434582049
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
