"sample1"	"sample2"	"PF3D7_05_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.974186199747596
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.988521546536954
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.947443787612951
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.705847913268487
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.771329092915814
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.791798200029752
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.820258696433838
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.974186199747596
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.97233512900053
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.963645125566141
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.659984901657801
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.743554678015673
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.737181359991173
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.795454406469717
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.988521546536954
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.97233512900053
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.952786747873783
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.657629111445394
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.738489243448167
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.753895139845327
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.793257605415826
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.947443787612951
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.963645125566141
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.952786747873783
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.651315476389382
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.746717095908899
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.729001690489254
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.818222411451466
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.705847913268487
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.659984901657801
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.657629111445394
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.651315476389382
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.944558964516772
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.950322589492331
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.900657949128786
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.771329092915814
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.743554678015673
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.738489243448167
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.746717095908899
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.944558964516772
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.958287616284924
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.958095028549595
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.791798200029752
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.737181359991173
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.753895139845327
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.729001690489254
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.950322589492331
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.958287616284924
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.956943374400395
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.820258696433838
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.795454406469717
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.793257605415826
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.818222411451466
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.900657949128786
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.958095028549595
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.956943374400395
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
