"sample1"	"sample2"	"PF3D7_12_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.97210702328598
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.992552737390639
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.935393970641989
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.789578623825732
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.814159694031775
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.898533624220707
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.860006053206392
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.97210702328598
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.967222381003282
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.962559281130295
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.810209814354712
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.842839664116882
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.891817454991168
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.883382622121982
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.992552737390639
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.967222381003282
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.93659511020432
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.778098521756071
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.806853488004438
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.891120745174747
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.855320268868969
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.935393970641989
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.962559281130295
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.93659511020432
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.771388954519767
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.830605227043778
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.85104208588323
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.892858870473552
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.789578623825732
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.810209814354712
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.778098521756071
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.771388954519767
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.959425042169943
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.945366254176788
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.913593374360551
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.814159694031775
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.842839664116882
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.806853488004438
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.830605227043778
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.959425042169943
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.945035554575921
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.960714155655972
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.898533624220707
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.891817454991168
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.891120745174747
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.85104208588323
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.945366254176788
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.945035554575921
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.95447146209374
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.860006053206392
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.883382622121982
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.855320268868969
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.892858870473552
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.913593374360551
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.960714155655972
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.95447146209374
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
