"sample1"	"sample2"	"PF3D7_03_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.981292421414631
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.994972452625855
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.943880630190362
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.813112406341182
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.839328224402952
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.886830579650239
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.856000784146628
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.981292421414631
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.980796529203479
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.967629460379019
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.817931970600056
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.854657021598069
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.871393755763911
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.867922637474264
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.994972452625855
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.980796529203479
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.945599688714075
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.792579751056814
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.826611897354992
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.869674392138002
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.844369301118283
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.943880630190362
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.967629460379019
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.945599688714075
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.776509116871134
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.838492475685507
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.833170281257248
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.876041734046756
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.813112406341182
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.817931970600056
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.792579751056814
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.776509116871134
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.951733175229666
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.953613223170604
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.911835749166083
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.839328224402952
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.854657021598069
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.826611897354992
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.838492475685507
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.951733175229666
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.959653456112015
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.972826226157473
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.886830579650239
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.871393755763911
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.869674392138002
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.833170281257248
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.953613223170604
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.959653456112015
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.955759473929467
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.856000784146628
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.867922637474264
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.844369301118283
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.876041734046756
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.911835749166083
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.972826226157473
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.955759473929467
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
