"sample1"	"sample2"	"PF3D7_10_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.974322658944657
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.990776753400363
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.941817378237361
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.734202159414333
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.813063064322168
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.849156190909342
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.848206689469212
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.974322658944657
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.967301910975352
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.960410208918397
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.748181973157653
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.831748811625108
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.832433160609001
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.859917994828708
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.990776753400363
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.967301910975352
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.949474322812651
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.699170372421578
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.790902271182749
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.82035955013528
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.830988419170802
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.941817378237361
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.960410208918397
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.949474322812651
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.702579591035846
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.816727762721399
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.792513413001051
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.869323410972178
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.734202159414333
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.748181973157653
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.699170372421578
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.702579591035846
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.935608791243681
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.926313531338935
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.883093459101747
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.813063064322168
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.831748811625108
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.790902271182749
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.816727762721399
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.935608791243681
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.921098670655331
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.944122767498025
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.849156190909342
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.832433160609001
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.82035955013528
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.792513413001051
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.926313531338935
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.921098670655331
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.945808168015405
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.848206689469212
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.859917994828708
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.830988419170802
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.869323410972178
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.883093459101747
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.944122767498025
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.945808168015405
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
