"sample1"	"sample2"	"PF3D7_01_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.986681481800325
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.997455259153522
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.96824559914399
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.812514063808344
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.853218477423394
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.893392153885947
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.869939845347349
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.986681481800325
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.986446953955048
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.985377612043723
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.834548458359625
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.879917720082545
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.898244974138649
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.895796229805682
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.997455259153522
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.986446953955048
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.970752662849763
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.81020015742493
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.85278370635195
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.892054104416129
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.872928087973594
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.96824559914399
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.985377612043723
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.970752662849763
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.824580468944895
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.885943226826406
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.894765575883818
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.915564217588971
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.812514063808344
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.834548458359625
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.81020015742493
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.824580468944895
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.965727296490075
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.941515602635246
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.922122192801335
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.853218477423394
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.879917720082545
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.85278370635195
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.885943226826406
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.965727296490075
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.949968045623186
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.964620315621552
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.893392153885947
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.898244974138649
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.892054104416129
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.894765575883818
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.941515602635246
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.949968045623186
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.965850365110039
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.869939845347349
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.895796229805682
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.872928087973594
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.915564217588971
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.922122192801335
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.964620315621552
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.965850365110039
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
