"sample1"	"sample2"	"PF3D7_04_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.95419363534959
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.99535510770216
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.827608611256703
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.787032105397354
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.854476206920912
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.927572702976122
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.901607429114299
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.95419363534959
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.948376132428608
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.861887215243272
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.825784471115724
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.830615554844803
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.889473090186825
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.869067655801888
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.99535510770216
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.948376132428608
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.822172824301381
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.773908680564905
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.845758350896764
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.917762271415191
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.893505526187601
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.827608611256703
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.861887215243272
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.822172824301381
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.745022884209072
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.688276467371953
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.754247682182534
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.740849033388707
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.787032105397354
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.825784471115724
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.773908680564905
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.745022884209072
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.885594421726254
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.881270728544093
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.827025103852887
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.854476206920912
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.830615554844803
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.845758350896764
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.688276467371953
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.885594421726254
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.948192057863514
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.955954696580962
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.927572702976122
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.889473090186825
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.917762271415191
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.754247682182534
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.881270728544093
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.948192057863514
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.963934177340066
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.901607429114299
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.869067655801888
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.893505526187601
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.740849033388707
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.827025103852887
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.955954696580962
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.963934177340066
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
