"sample1"	"sample2"	"PF3D7_08_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.978019507509151
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.994883678832116
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.945509154040722
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.809215625075803
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.822775177373684
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.894505361820913
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.856674525667421
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.978019507509151
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.974469760623803
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.96348207350487
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.79859454301151
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.824224124467532
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.868606957951322
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.853557713462739
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.994883678832116
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.974469760623803
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.949187186063397
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.786079738357347
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.811919500062895
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.876705645082387
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.848280692184343
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.945509154040722
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.96348207350487
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.949187186063397
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.785462732841259
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.834053168820811
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.852931953230894
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.888129727843745
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.809215625075803
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.79859454301151
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.786079738357347
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.785462732841259
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.956128662568611
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.942504086549477
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.911057951986215
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.822775177373684
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.824224124467532
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.811919500062895
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.834053168820811
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.956128662568611
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.933951279505544
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.948489112904974
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.894505361820913
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.868606957951322
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.876705645082387
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.852931953230894
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.942504086549477
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.933951279505544
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.957206592735889
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.856674525667421
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.853557713462739
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.848280692184343
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.888129727843745
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.911057951986215
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.948489112904974
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.957206592735889
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
