"sample1"	"sample2"	"PF3D7_02_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.652875403277126
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.994901902693826
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.315019917027548
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.85512329800232
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.547821150023351
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.875555237782955
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.65015194285567
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.652875403277126
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.625762185770884
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.343077729586211
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.67371283142979
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.774170075330843
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.646190417025901
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.750331576446883
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.994901902693826
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.625762185770884
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.316348942914346
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.830552510885717
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.518716566872454
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.86217822136926
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.610991919629903
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.315019917027548
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.343077729586211
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.316348942914346
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.382677102557852
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.456787973574952
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.383742077877203
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.389175087261265
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.85512329800232
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.67371283142979
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.830552510885717
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.382677102557852
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.689671909705654
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.971801760149815
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.779641005961435
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.547821150023351
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.774170075330843
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.518716566872454
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.456787973574952
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.689671909705654
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.670369565251184
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.80133969670818
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.875555237782955
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.646190417025901
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.86217822136926
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.383742077877203
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.971801760149815
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.670369565251184
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.790472412800051
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.65015194285567
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.750331576446883
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.610991919629903
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.389175087261265
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.779641005961435
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.80133969670818
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.790472412800051
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
