"sample1"	"sample2"	"PF3D7_09_V3"
"1"	"KO_40h_rep2"	"KO_40h_rep2"	1
"2"	"KO_40h_rep1"	"KO_40h_rep2"	0.975013949501265
"3"	"WT_40h_rep2"	"KO_40h_rep2"	0.992952777532591
"4"	"WT_40h_rep1"	"KO_40h_rep2"	0.947242067408663
"5"	"KO_16h_rep2"	"KO_40h_rep2"	0.793446257375537
"6"	"KO_16h_rep1"	"KO_40h_rep2"	0.849220596313863
"7"	"WT_16h_rep2"	"KO_40h_rep2"	0.870007568095557
"8"	"WT_16h_rep1"	"KO_40h_rep2"	0.863693213584219
"9"	"KO_40h_rep2"	"KO_40h_rep1"	0.975013949501265
"10"	"KO_40h_rep1"	"KO_40h_rep1"	1
"11"	"WT_40h_rep2"	"KO_40h_rep1"	0.972729237679833
"12"	"WT_40h_rep1"	"KO_40h_rep1"	0.969972152203747
"13"	"KO_16h_rep2"	"KO_40h_rep1"	0.785545740834898
"14"	"KO_16h_rep1"	"KO_40h_rep1"	0.850380773030566
"15"	"WT_16h_rep2"	"KO_40h_rep1"	0.839784404122405
"16"	"WT_16h_rep1"	"KO_40h_rep1"	0.85730987349909
"17"	"KO_40h_rep2"	"WT_40h_rep2"	0.992952777532591
"18"	"KO_40h_rep1"	"WT_40h_rep2"	0.972729237679833
"19"	"WT_40h_rep2"	"WT_40h_rep2"	1
"20"	"WT_40h_rep1"	"WT_40h_rep2"	0.946882562384956
"21"	"KO_16h_rep2"	"WT_40h_rep2"	0.781378247119921
"22"	"KO_16h_rep1"	"WT_40h_rep2"	0.845884834162961
"23"	"WT_16h_rep2"	"WT_40h_rep2"	0.86247350994662
"24"	"WT_16h_rep1"	"WT_40h_rep2"	0.859900243286916
"25"	"KO_40h_rep2"	"WT_40h_rep1"	0.947242067408663
"26"	"KO_40h_rep1"	"WT_40h_rep1"	0.969972152203747
"27"	"WT_40h_rep2"	"WT_40h_rep1"	0.946882562384956
"28"	"WT_40h_rep1"	"WT_40h_rep1"	1
"29"	"KO_16h_rep2"	"WT_40h_rep1"	0.765340238560536
"30"	"KO_16h_rep1"	"WT_40h_rep1"	0.846372983873799
"31"	"WT_16h_rep2"	"WT_40h_rep1"	0.819618711625072
"32"	"WT_16h_rep1"	"WT_40h_rep1"	0.870966571773647
"33"	"KO_40h_rep2"	"KO_16h_rep2"	0.793446257375537
"34"	"KO_40h_rep1"	"KO_16h_rep2"	0.785545740834898
"35"	"WT_40h_rep2"	"KO_16h_rep2"	0.781378247119921
"36"	"WT_40h_rep1"	"KO_16h_rep2"	0.765340238560536
"37"	"KO_16h_rep2"	"KO_16h_rep2"	1
"38"	"KO_16h_rep1"	"KO_16h_rep2"	0.947358220995002
"39"	"WT_16h_rep2"	"KO_16h_rep2"	0.950640715701626
"40"	"WT_16h_rep1"	"KO_16h_rep2"	0.914031960609349
"41"	"KO_40h_rep2"	"KO_16h_rep1"	0.849220596313863
"42"	"KO_40h_rep1"	"KO_16h_rep1"	0.850380773030566
"43"	"WT_40h_rep2"	"KO_16h_rep1"	0.845884834162961
"44"	"WT_40h_rep1"	"KO_16h_rep1"	0.846372983873799
"45"	"KO_16h_rep2"	"KO_16h_rep1"	0.947358220995002
"46"	"KO_16h_rep1"	"KO_16h_rep1"	1
"47"	"WT_16h_rep2"	"KO_16h_rep1"	0.947274948113734
"48"	"WT_16h_rep1"	"KO_16h_rep1"	0.968003949780265
"49"	"KO_40h_rep2"	"WT_16h_rep2"	0.870007568095557
"50"	"KO_40h_rep1"	"WT_16h_rep2"	0.839784404122405
"51"	"WT_40h_rep2"	"WT_16h_rep2"	0.86247350994662
"52"	"WT_40h_rep1"	"WT_16h_rep2"	0.819618711625072
"53"	"KO_16h_rep2"	"WT_16h_rep2"	0.950640715701626
"54"	"KO_16h_rep1"	"WT_16h_rep2"	0.947274948113734
"55"	"WT_16h_rep2"	"WT_16h_rep2"	1
"56"	"WT_16h_rep1"	"WT_16h_rep2"	0.95781878905229
"57"	"KO_40h_rep2"	"WT_16h_rep1"	0.863693213584219
"58"	"KO_40h_rep1"	"WT_16h_rep1"	0.85730987349909
"59"	"WT_40h_rep2"	"WT_16h_rep1"	0.859900243286916
"60"	"WT_40h_rep1"	"WT_16h_rep1"	0.870966571773647
"61"	"KO_16h_rep2"	"WT_16h_rep1"	0.914031960609349
"62"	"KO_16h_rep1"	"WT_16h_rep1"	0.968003949780265
"63"	"WT_16h_rep2"	"WT_16h_rep1"	0.95781878905229
"64"	"WT_16h_rep1"	"WT_16h_rep1"	1
