Gene stable ID	Gene stable ID version	Gene name	NCBI gene (formerly Entrezgene) ID
ENSG00000279261	ENSG00000279261.2	LINC02961	100130249
ENSG00000205710	ENSG00000205710.4	C17orf107	100130311
ENSG00000215022	ENSG00000215022.8		100130357
ENSG00000237499	ENSG00000237499.7	WAKMAR2	100130476
ENSG00000291925	ENSG00000291925.2	CD300H	100130520
ENSG00000284690	ENSG00000284690.3	CD300H	100130520
ENSG00000267270	ENSG00000267270.8	PARD6G-AS1	100130522
ENSG00000235138	ENSG00000235138.1		100130548
ENSG00000213963	ENSG00000213963.7		100130691
ENSG00000272899	ENSG00000272899.4	SPMIP1	100130705
ENSG00000186105	ENSG00000186105.8	LRRC70	100130733
ENSG00000214954	ENSG00000214954.9	LRRC69	100130742
ENSG00000185055	ENSG00000185055.11	EFCAB10	100130771
ENSG00000255737	ENSG00000255737.2	AGAP2-AS1	100130776
ENSG00000237243	ENSG00000237243.1	CREB3L2-AS1	100130880
ENSG00000293468	ENSG00000293468.1	ATE1OSP	100130887
ENSG00000279170	ENSG00000279170.3	TSTD3	100130890
ENSG00000214353	ENSG00000214353.8	VAC14-AS1	100130894
ENSG00000261879	ENSG00000261879.9	ZNF594-DT	100130950
ENSG00000205078	ENSG00000205078.6	SYCE1L	100130958
ENSG00000203711	ENSG00000203711.16	LINC02901	100130967
ENSG00000205903	ENSG00000205903.7	ZNF316	100131017
ENSG00000247572	ENSG00000247572.9	CKMT2-AS1	100131067
ENSG00000248508	ENSG00000248508.10	SRP14-DT	100131089
ENSG00000205790	ENSG00000205790.1	DPP9-AS1	100131094
ENSG00000241560	ENSG00000241560.7	ZBTB20-AS1	100131117
ENSG00000215845	ENSG00000215845.11	TSTD1	100131187
ENSG00000228544	ENSG00000228544.1	CCDC183-AS1	100131193
ENSG00000189362	ENSG00000189362.12	NEMP2	100131211
ENSG00000237149	ENSG00000237149.5	ZNF503-AS2	100131213
ENSG00000241769	ENSG00000241769.7	EOLA1-DT	100131434
ENSG00000291922	ENSG00000291922.1	CD300LD	100131439
ENSG00000204345	ENSG00000204345.1	CD300LD	100131439
ENSG00000228804	ENSG00000228804.5		100131635
ENSG00000264278	ENSG00000264278.1	ZNF236-DT	100131655
ENSG00000267858	ENSG00000267858.8	MZF1-AS1	100131691
ENSG00000196440	ENSG00000196440.12	ARMCX4	100131755
ENSG00000229833	ENSG00000229833.11	PET100	100131801
ENSG00000231028	ENSG00000231028.11	AHI1-DT	100131814
ENSG00000227124	ENSG00000227124.11	ZNF717	100131827
ENSG00000204767	ENSG00000204767.4	INSYN2B	100131897
ENSG00000290865	ENSG00000290865.1	RRN3P3	100131998
ENSG00000231609	ENSG00000231609.7	EHBP1-AS1	100132215
ENSG00000284218	ENSG00000284218.2	NPIPB5	100132247
ENSG00000243716	ENSG00000243716.12	NPIPB5	100132247
ENSG00000279561	ENSG00000279561.3		100132249
ENSG00000291050	ENSG00000291050.1	TEKT4P2	100132288
ENSG00000271425	ENSG00000271425.9	NBPF10	100132406
ENSG00000265531	ENSG00000265531.3	FCGR1CP	100132417
ENSG00000235531	ENSG00000235531.11	MSC-AS1	100132891
ENSG00000290511	ENSG00000290511.1	LINC03009	100133091
ENSG00000290873	ENSG00000290873.1	LINC03009	100133091
ENSG00000230212	ENSG00000230212.6	CBR1-AS1	100133286
ENSG00000254469	ENSG00000254469.11	XNDC1N	100133315
ENSG00000267064	ENSG00000267064.2	UXT-AS1	100133957
ENSG00000231327	ENSG00000231327.3	LINC01816	100133985
ENSG00000235958	ENSG00000235958.5	UBOX5-AS1	100134015
ENSG00000260231	ENSG00000260231.2	KDM7A-DT	100134229
ENSG00000240889	ENSG00000240889.1	NDUFB2-AS1	100134713
ENSG00000291162	ENSG00000291162.1	UBE2Q2P2	100134869
ENSG00000290945	ENSG00000290945.1	UBE2Q2P2	100134869
ENSG00000257949	ENSG00000257949.7	TEN1	100134934
ENSG00000267368	ENSG00000267368.1	UPK3BL1	100134938
ENSG00000243789	ENSG00000243789.11	JMJD7	100137047
ENSG00000243708	ENSG00000243708.11	PLA2G4B	100137049
ENSG00000108840	ENSG00000108840.16	HDAC5	10014
ENSG00000205559	ENSG00000205559.5	CHKB-DT	100144603
ENSG00000283059	ENSG00000283059.3	KLLN	100144748
ENSG00000227268	ENSG00000227268.5	KLLN	100144748
ENSG00000238923	ENSG00000238923.1	RNU7-1	100147744
ENSG00000170248	ENSG00000170248.15	PDCD6IP	10015
ENSG00000264229	ENSG00000264229.1	RNU4ATAC	100151683
ENSG00000221676	ENSG00000221676.1	RNU6ATAC	100151684
ENSG00000254911	ENSG00000254911.3	SCARNA9	100158262
ENSG00000249915	ENSG00000249915.9	PDCD6	10016
ENSG00000201321	ENSG00000201321.1	RNA5S9	100169760
ENSG00000226763	ENSG00000226763.5	SRRM5	100170229
ENSG00000153094	ENSG00000153094.25	BCL2L11	10018
ENSG00000214736	ENSG00000214736.8	TOMM6	100188893
ENSG00000237737	ENSG00000237737.6	DCTN1-AS1	100189589
ENSG00000111252	ENSG00000111252.11	SH2B3	10019
ENSG00000159921	ENSG00000159921.20	GNE	10020
ENSG00000165879	ENSG00000165879.9	FRAT1	10023
ENSG00000291050	ENSG00000291050.1	TEKT4P2	100233156
ENSG00000247774	ENSG00000247774.9	PCED1B-AS1	100233209
ENSG00000135451	ENSG00000135451.13	TROAP	10024
ENSG00000291180	ENSG00000291180.1		100240735
ENSG00000282092	ENSG00000282092.1	MED16	10025
ENSG00000175221	ENSG00000175221.16	MED16	10025
ENSG00000142892	ENSG00000142892.15	PIGK	10026
ENSG00000204758	ENSG00000204758.8	RPL26L1-AS1	100268168
ENSG00000249375	ENSG00000249375.8	CASC11	100270680
ENSG00000273148	ENSG00000273148.2	LCDR	100270804
ENSG00000285233	ENSG00000285233.1	LINC00940	100271702
ENSG00000235049	ENSG00000235049.1	LINC00940	100271702
ENSG00000214694	ENSG00000214694.13	ARHGEF33	100271715
ENSG00000213999	ENSG00000213999.17	MEF2B	100271849
ENSG00000268257	ENSG00000268257.2	AIRN	100271873
ENSG00000170667	ENSG00000170667.16	RASA4B	100271927
ENSG00000182712	ENSG00000182712.16	CMC4	100272147
ENSG00000258057	ENSG00000258057.6	BCDIN3D-AS1	100286844
ENSG00000291570	ENSG00000291570.1	MCPH1-DT	100287015
ENSG00000246089	ENSG00000246089.5	MCPH1-DT	100287015
ENSG00000290355	ENSG00000290355.1	DDX11L16	100287029
ENSG00000263843	ENSG00000263843.1	MIF4GD-DT	100287042
ENSG00000228606	ENSG00000228606.4	DCAF8-DT	100287049
ENSG00000290825	ENSG00000290825.1	DDX11L2	100287102
ENSG00000181404	ENSG00000181404.18	WASHC1	100287171
ENSG00000267757	ENSG00000267757.4	EML2-AS1	100287177
ENSG00000205693	ENSG00000205693.4	MANSC4	100287284
ENSG00000260898	ENSG00000260898.6	ADPGK-AS1	100287559
ENSG00000196668	ENSG00000196668.4	LINC00173	100287569
ENSG00000226167	ENSG00000226167.1	AP4B1-AS1	100287722
ENSG00000254837	ENSG00000254837.2	LIPT2-AS1	100287896
ENSG00000275571	ENSG00000275571.2	TTC34	100287898
ENSG00000215912	ENSG00000215912.13	TTC34	100287898
ENSG00000223776	ENSG00000223776.5	LGALS8-AS1	100287902
ENSG00000265354	ENSG00000265354.4	TIMM23	100287932
ENSG00000179452	ENSG00000179452.2	LINC01699	100287948
ENSG00000293113	ENSG00000293113.1	GS1-279B7.1	100288079
ENSG00000267690	ENSG00000267690.1	LDLRAD4-AS1	100288122
ENSG00000162825	ENSG00000162825.18	NBPF20	100288142
ENSG00000291156	ENSG00000291156.1		100288175
ENSG00000253741	ENSG00000253741.4	LNCOC1	100288181
ENSG00000270362	ENSG00000270362.2	HMGN3-AS1	100288198
ENSG00000282705	ENSG00000282705.1	NPIPA5	100288332
ENSG00000183793	ENSG00000183793.14	NPIPA5	100288332
ENSG00000290723	ENSG00000290723.1	ULK4P2	100288380
ENSG00000290633	ENSG00000290633.1	DDX11L16	100288486
ENSG00000290824	ENSG00000290824.1	DDX11L16	100288486
ENSG00000187951	ENSG00000187951.11		100288637
ENSG00000256671	ENSG00000256671.7	LIMS4	100288695
ENSG00000262435	ENSG00000262435.1	WASH8P	100288778
ENSG00000226210	ENSG00000226210.3	WASH8P	100288778
ENSG00000214654	ENSG00000214654.9	B3GALT9	100288842
ENSG00000258940	ENSG00000258940.2	MIA2-AS1	100288846
ENSG00000237310	ENSG00000237310.3	LINC03011	100289098
ENSG00000232284	ENSG00000232284.9	GNG12-AS1	100289178
ENSG00000244219	ENSG00000244219.7	TMEM225B	100289187
ENSG00000248489	ENSG00000248489.4	CHD1-DT	100289230
ENSG00000247400	ENSG00000247400.6	DNAJC3-DT	100289274
ENSG00000268996	ENSG00000268996.3	MAN1B1-DT	100289341
ENSG00000228889	ENSG00000228889.9	UBAC2-AS1	100289373
ENSG00000246174	ENSG00000246174.10	KCTD21-AS1	100289388
ENSG00000293374	ENSG00000293374.1		100289473
ENSG00000286760	ENSG00000286760.3		100289495
ENSG00000196458	ENSG00000196458.11	ZNF605	100289635
ENSG00000204946	ENSG00000204946.10	ZNF783	100289678
ENSG00000269343	ENSG00000269343.9	ZNF587B	100293516
ENSG00000289047	ENSG00000289047.2		100294145
ENSG00000263069	ENSG00000263069.6	RNF213-AS1	100294362
ENSG00000179776	ENSG00000179776.20	CDH5	1003
ENSG00000221533	ENSG00000221533.1	MIR1184-1	100302111
ENSG00000221264	ENSG00000221264.1	MIR1284	100302112
ENSG00000221325	ENSG00000221325.1	MIR1200	100302113
ENSG00000284481	ENSG00000284481.1	MIR1292	100302138
ENSG00000222831	ENSG00000222831.1	MIR1537	100302139
ENSG00000283958	ENSG00000283958.1	MIR1248	100302143
ENSG00000221063	ENSG00000221063.3	MIR1296	100302150
